date_id,award_date,year,quarter,month
200,2018-07-19,2018,3,7
201,2018-07-20,2018,3,7
202,2018-07-21,2018,3,7
203,2018-07-22,2018,3,7
204,2018-07-23,2018,3,7
205,2018-07-24,2018,3,7
206,2018-07-25,2018,3,7
207,2018-07-26,2018,3,7
208,2018-07-27,2018,3,7
209,2018-07-28,2018,3,7
210,2018-07-29,2018,3,7
211,2018-07-30,2018,3,7
212,2018-07-31,2018,3,7
213,2018-08-01,2018,3,8
214,2018-08-02,2018,3,8
215,2018-08-03,2018,3,8
216,2018-08-04,2018,3,8
217,2018-08-05,2018,3,8
218,2018-08-06,2018,3,8
219,2018-08-07,2018,3,8
220,2018-08-08,2018,3,8
221,2018-08-09,2018,3,8
222,2018-08-10,2018,3,8
223,2018-08-11,2018,3,8
224,2018-08-12,2018,3,8
225,2018-08-13,2018,3,8
226,2018-08-14,2018,3,8
227,2018-08-15,2018,3,8
228,2018-08-16,2018,3,8
229,2018-08-17,2018,3,8
230,2018-08-18,2018,3,8
231,2018-08-19,2018,3,8
232,2018-08-20,2018,3,8
233,2018-08-21,2018,3,8
234,2018-08-22,2018,3,8
235,2018-08-23,2018,3,8
236,2018-08-24,2018,3,8
237,2018-08-25,2018,3,8
238,2018-08-26,2018,3,8
239,2018-08-27,2018,3,8
240,2018-08-28,2018,3,8
241,2018-08-29,2018,3,8
242,2018-08-30,2018,3,8
243,2018-08-31,2018,3,8
244,2018-09-01,2018,3,9
245,2018-09-02,2018,3,9
246,2018-09-03,2018,3,9
247,2018-09-04,2018,3,9
248,2018-09-05,2018,3,9
249,2018-09-06,2018,3,9
250,2018-09-07,2018,3,9
251,2018-09-08,2018,3,9
252,2018-09-09,2018,3,9
253,2018-09-10,2018,3,9
254,2018-09-11,2018,3,9
255,2018-09-12,2018,3,9
256,2018-09-13,2018,3,9
257,2018-09-14,2018,3,9
258,2018-09-15,2018,3,9
259,2018-09-16,2018,3,9
260,2018-09-17,2018,3,9
261,2018-09-18,2018,3,9
262,2018-09-19,2018,3,9
263,2018-09-20,2018,3,9
264,2018-09-21,2018,3,9
265,2018-09-22,2018,3,9
266,2018-09-23,2018,3,9
267,2018-09-24,2018,3,9
268,2018-09-25,2018,3,9
269,2018-09-26,2018,3,9
270,2018-09-27,2018,3,9
271,2018-09-28,2018,3,9
272,2018-09-29,2018,3,9
273,2018-09-30,2018,3,9
274,2018-10-01,2018,4,10
275,2018-10-02,2018,4,10
276,2018-10-03,2018,4,10
277,2018-10-04,2018,4,10
278,2018-10-05,2018,4,10
279,2018-10-06,2018,4,10
280,2018-10-07,2018,4,10
281,2018-10-08,2018,4,10
282,2018-10-09,2018,4,10
283,2018-10-10,2018,4,10
284,2018-10-11,2018,4,10
285,2018-10-12,2018,4,10
286,2018-10-13,2018,4,10
287,2018-10-14,2018,4,10
288,2018-10-15,2018,4,10
289,2018-10-16,2018,4,10
290,2018-10-17,2018,4,10
291,2018-10-18,2018,4,10
292,2018-10-19,2018,4,10
293,2018-10-20,2018,4,10
294,2018-10-21,2018,4,10
295,2018-10-22,2018,4,10
296,2018-10-23,2018,4,10
297,2018-10-24,2018,4,10
298,2018-10-25,2018,4,10
299,2018-10-26,2018,4,10
300,2018-10-27,2018,4,10
301,2018-10-28,2018,4,10
302,2018-10-29,2018,4,10
303,2018-10-30,2018,4,10
304,2018-10-31,2018,4,10
305,2018-11-01,2018,4,11
306,2018-11-02,2018,4,11
307,2018-11-03,2018,4,11
308,2018-11-04,2018,4,11
309,2018-11-05,2018,4,11
310,2018-11-06,2018,4,11
311,2018-11-07,2018,4,11
312,2018-11-08,2018,4,11
313,2018-11-09,2018,4,11
314,2018-11-10,2018,4,11
315,2018-11-11,2018,4,11
316,2018-11-12,2018,4,11
317,2018-11-13,2018,4,11
318,2018-11-14,2018,4,11
319,2018-11-15,2018,4,11
320,2018-11-16,2018,4,11
321,2018-11-17,2018,4,11
322,2018-11-18,2018,4,11
323,2018-11-19,2018,4,11
324,2018-11-20,2018,4,11
325,2018-11-21,2018,4,11
326,2018-11-22,2018,4,11
327,2018-11-23,2018,4,11
328,2018-11-24,2018,4,11
329,2018-11-25,2018,4,11
330,2018-11-26,2018,4,11
331,2018-11-27,2018,4,11
332,2018-11-28,2018,4,11
333,2018-11-29,2018,4,11
334,2018-11-30,2018,4,11
335,2018-12-01,2018,4,12
336,2018-12-02,2018,4,12
337,2018-12-03,2018,4,12
338,2018-12-04,2018,4,12
339,2018-12-05,2018,4,12
340,2018-12-06,2018,4,12
341,2018-12-07,2018,4,12
342,2018-12-08,2018,4,12
343,2018-12-09,2018,4,12
344,2018-12-10,2018,4,12
345,2018-12-11,2018,4,12
346,2018-12-12,2018,4,12
347,2018-12-13,2018,4,12
348,2018-12-14,2018,4,12
349,2018-12-15,2018,4,12
350,2018-12-16,2018,4,12
351,2018-12-17,2018,4,12
352,2018-12-18,2018,4,12
353,2018-12-19,2018,4,12
354,2018-12-20,2018,4,12
355,2018-12-21,2018,4,12
356,2018-12-22,2018,4,12
357,2018-12-23,2018,4,12
358,2018-12-24,2018,4,12
359,2018-12-25,2018,4,12
360,2018-12-26,2018,4,12
361,2018-12-27,2018,4,12
362,2018-12-28,2018,4,12
363,2018-12-29,2018,4,12
364,2018-12-30,2018,4,12
365,2018-12-31,2018,4,12
366,2019-01-01,2019,1,1
367,2019-01-02,2019,1,1
368,2019-01-03,2019,1,1
369,2019-01-04,2019,1,1
370,2019-01-05,2019,1,1
371,2019-01-06,2019,1,1
372,2019-01-07,2019,1,1
373,2019-01-08,2019,1,1
374,2019-01-09,2019,1,1
375,2019-01-10,2019,1,1
376,2019-01-11,2019,1,1
377,2019-01-12,2019,1,1
378,2019-01-13,2019,1,1
379,2019-01-14,2019,1,1
380,2019-01-15,2019,1,1
381,2019-01-16,2019,1,1
382,2019-01-17,2019,1,1
383,2019-01-18,2019,1,1
384,2019-01-19,2019,1,1
385,2019-01-20,2019,1,1
386,2019-01-21,2019,1,1
387,2019-01-22,2019,1,1
388,2019-01-23,2019,1,1
389,2019-01-24,2019,1,1
390,2019-01-25,2019,1,1
391,2019-01-26,2019,1,1
392,2019-01-27,2019,1,1
393,2019-01-28,2019,1,1
394,2019-01-29,2019,1,1
395,2019-01-30,2019,1,1
396,2019-01-31,2019,1,1
397,2019-02-01,2019,1,2
398,2019-02-02,2019,1,2
399,2019-02-03,2019,1,2
400,2019-02-04,2019,1,2
401,2019-02-05,2019,1,2
402,2019-02-06,2019,1,2
403,2019-02-07,2019,1,2
404,2019-02-08,2019,1,2
405,2019-02-09,2019,1,2
406,2019-02-10,2019,1,2
407,2019-02-11,2019,1,2
408,2019-02-12,2019,1,2
409,2019-02-13,2019,1,2
410,2019-02-14,2019,1,2
411,2019-02-15,2019,1,2
412,2019-02-16,2019,1,2
413,2019-02-17,2019,1,2
414,2019-02-18,2019,1,2
415,2019-02-19,2019,1,2
416,2019-02-20,2019,1,2
417,2019-02-21,2019,1,2
418,2019-02-22,2019,1,2
419,2019-02-23,2019,1,2
420,2019-02-24,2019,1,2
421,2019-02-25,2019,1,2
422,2019-02-26,2019,1,2
423,2019-02-27,2019,1,2
424,2019-02-28,2019,1,2
425,2019-03-01,2019,1,3
426,2019-03-02,2019,1,3
427,2019-03-03,2019,1,3
428,2019-03-04,2019,1,3
429,2019-03-05,2019,1,3
430,2019-03-06,2019,1,3
431,2019-03-07,2019,1,3
432,2019-03-08,2019,1,3
433,2019-03-09,2019,1,3
434,2019-03-10,2019,1,3
435,2019-03-11,2019,1,3
436,2019-03-12,2019,1,3
437,2019-03-13,2019,1,3
438,2019-03-14,2019,1,3
439,2019-03-15,2019,1,3
440,2019-03-16,2019,1,3
441,2019-03-17,2019,1,3
442,2019-03-18,2019,1,3
443,2019-03-19,2019,1,3
444,2019-03-20,2019,1,3
445,2019-03-21,2019,1,3
446,2019-03-22,2019,1,3
447,2019-03-23,2019,1,3
448,2019-03-24,2019,1,3
449,2019-03-25,2019,1,3
450,2019-03-26,2019,1,3
451,2019-03-27,2019,1,3
452,2019-03-28,2019,1,3
453,2019-03-29,2019,1,3
454,2019-03-30,2019,1,3
455,2019-03-31,2019,1,3
456,2019-04-01,2019,2,4
457,2019-04-02,2019,2,4
458,2019-04-03,2019,2,4
459,2019-04-04,2019,2,4
460,2019-04-05,2019,2,4
461,2019-04-06,2019,2,4
462,2019-04-07,2019,2,4
463,2019-04-08,2019,2,4
464,2019-04-09,2019,2,4
465,2019-04-10,2019,2,4
466,2019-04-11,2019,2,4
467,2019-04-12,2019,2,4
468,2019-04-13,2019,2,4
469,2019-04-14,2019,2,4
470,2019-04-15,2019,2,4
471,2019-04-16,2019,2,4
472,2019-04-17,2019,2,4
473,2019-04-18,2019,2,4
474,2019-04-19,2019,2,4
475,2019-04-20,2019,2,4
476,2019-04-21,2019,2,4
477,2019-04-22,2019,2,4
478,2019-04-23,2019,2,4
479,2019-04-24,2019,2,4
480,2019-04-25,2019,2,4
481,2019-04-26,2019,2,4
482,2019-04-27,2019,2,4
483,2019-04-28,2019,2,4
484,2019-04-29,2019,2,4
485,2019-04-30,2019,2,4
486,2019-05-01,2019,2,5
487,2019-05-02,2019,2,5
488,2019-05-03,2019,2,5
489,2019-05-04,2019,2,5
490,2019-05-05,2019,2,5
491,2019-05-06,2019,2,5
492,2019-05-07,2019,2,5
493,2019-05-08,2019,2,5
494,2019-05-09,2019,2,5
495,2019-05-10,2019,2,5
496,2019-05-11,2019,2,5
497,2019-05-12,2019,2,5
498,2019-05-13,2019,2,5
499,2019-05-14,2019,2,5
500,2019-05-15,2019,2,5
501,2019-05-16,2019,2,5
502,2019-05-17,2019,2,5
503,2019-05-18,2019,2,5
504,2019-05-19,2019,2,5
505,2019-05-20,2019,2,5
506,2019-05-21,2019,2,5
507,2019-05-22,2019,2,5
508,2019-05-23,2019,2,5
509,2019-05-24,2019,2,5
510,2019-05-25,2019,2,5
511,2019-05-26,2019,2,5
512,2019-05-27,2019,2,5
513,2019-05-28,2019,2,5
514,2019-05-29,2019,2,5
515,2019-05-30,2019,2,5
516,2019-05-31,2019,2,5
517,2019-06-01,2019,2,6
518,2019-06-02,2019,2,6
519,2019-06-03,2019,2,6
520,2019-06-04,2019,2,6
521,2019-06-05,2019,2,6
522,2019-06-06,2019,2,6
523,2019-06-07,2019,2,6
524,2019-06-08,2019,2,6
525,2019-06-09,2019,2,6
526,2019-06-10,2019,2,6
527,2019-06-11,2019,2,6
528,2019-06-12,2019,2,6
529,2019-06-13,2019,2,6
530,2019-06-14,2019,2,6
531,2019-06-15,2019,2,6
532,2019-06-16,2019,2,6
533,2019-06-17,2019,2,6
534,2019-06-18,2019,2,6
535,2019-06-19,2019,2,6
536,2019-06-20,2019,2,6
537,2019-06-21,2019,2,6
538,2019-06-22,2019,2,6
539,2019-06-23,2019,2,6
540,2019-06-24,2019,2,6
541,2019-06-25,2019,2,6
542,2019-06-26,2019,2,6
543,2019-06-27,2019,2,6
544,2019-06-28,2019,2,6
545,2019-06-29,2019,2,6
546,2019-06-30,2019,2,6
547,2019-07-01,2019,3,7
548,2019-07-02,2019,3,7
549,2019-07-03,2019,3,7
550,2019-07-04,2019,3,7
551,2019-07-05,2019,3,7
552,2019-07-06,2019,3,7
553,2019-07-07,2019,3,7
554,2019-07-08,2019,3,7
555,2019-07-09,2019,3,7
556,2019-07-10,2019,3,7
557,2019-07-11,2019,3,7
558,2019-07-12,2019,3,7
559,2019-07-13,2019,3,7
560,2019-07-14,2019,3,7
561,2019-07-15,2019,3,7
562,2019-07-16,2019,3,7
563,2019-07-17,2019,3,7
564,2019-07-18,2019,3,7
565,2019-07-19,2019,3,7
566,2019-07-20,2019,3,7
567,2019-07-21,2019,3,7
568,2019-07-22,2019,3,7
569,2019-07-23,2019,3,7
570,2019-07-24,2019,3,7
571,2019-07-25,2019,3,7
572,2019-07-26,2019,3,7
573,2019-07-27,2019,3,7
574,2019-07-28,2019,3,7
575,2019-07-29,2019,3,7
576,2019-07-30,2019,3,7
577,2019-07-31,2019,3,7
578,2019-08-01,2019,3,8
579,2019-08-02,2019,3,8
580,2019-08-03,2019,3,8
581,2019-08-04,2019,3,8
582,2019-08-05,2019,3,8
583,2019-08-06,2019,3,8
584,2019-08-07,2019,3,8
585,2019-08-08,2019,3,8
